customer_id,num_late_payments,debt_to_income_ratio,credit_score,default_flag,pd_logistic,credit_risk_score,risk_grade,recommendation,interest_rate
CUST000074,-0.412314653,-0.098886775,640,0,0.2170624814,796,A,Approve,5.00%
CUST000075,-0.412314653,0.8113880529,684,1,0.2137772833,797,A,Approve,5.00%
CUST000076,-0.412314653,0.7071080966,761,0,0.1492140593,813,A,Approve,5.00%
CUST000077,-0.412314653,0.1503843367,651,0,0.2100712616,797,A,Approve,5.00%
CUST000078,-0.412314653,1.1167383154,746,0,0.1565648365,811,A,Approve,5.00%
CUST000080,1.016144922,0.5893039417,661,0,0.4572131139,736,B,Approve,7.00%
CUST000081,-0.412314653,0.5663314421,691,0,0.1860518213,803,A,Approve,5.00%
CUST000082,3.1588342845,-0.373458898,562,0,0.3461006342,763,A,Approve,5.00%
CUST000083,-0.412314653,-0.108905588,636,1,0.2196460696,795,A,Approve,5.00%
CUST000084,4.5872938595,-0.821944872,516,0,0.3761720112,756,A,Approve,5.00%
CUST000086,0.3019151345,0.5696962123,606,0,0.3284145251,768,A,Approve,5.00%
CUST000087,-0.412314653,-1.218097521,670,0,0.100000351,825,A,Approve,5.00%
CUST000088,-0.412314653,-0.130358476,715,0,0.1726878021,807,A,Approve,5.00%
CUST000090,-0.412314653,-1.643289056,695,0,0.0918018288,827,A,Approve,5.00%
CUST000092,-0.412314653,0.7815146224,625,0,0.2536902957,787,A,Approve,5.00%
CUST000094,1.7303747095,-1.02603983,525,0,0.2221230663,794,A,Approve,5.00%
CUST000096,-0.412314653,-0.424936273,790,0,0.1358111614,816,A,Approve,5.00%
CUST000097,1.7303747095,0.4673664592,703,0,0.2187079279,795,A,Approve,5.00%
CUST000098,-0.412314653,0.8749014091,653,0,0.2341562882,791,A,Approve,5.00%
CUST000100,-0.412314653,0.7240085923,679,0,0.1930272084,802,A,Approve,5.00%
CUST000101,-0.412314653,-0.336248351,620,0,0.2572894831,786,A,Approve,5.00%
CUST000103,-0.412314653,-1.342756956,727,0,0.082191957,829,A,Approve,5.00%
CUST000104,-0.412314653,-0.030121152,733,0,0.1631717167,809,A,Approve,5.00%
CUST000109,1.016144922,-1.020542487,621,0,0.1490755231,813,A,Approve,5.00%
CUST000110,-0.412314653,2.2264468687,767,0,0.1463544085,813,A,Approve,5.00%
CUST000111,0.3019151345,-1.419804962,629,0,0.1480090642,813,A,Approve,5.00%
CUST000112,-0.412314653,-1.212383046,663,0,0.1024099146,824,A,Approve,5.00%
CUST000113,-0.412314653,-0.571911095,703,0,0.1792725043,805,A,Approve,5.00%
CUST000115,-0.412314653,2.8337915833,745,0,0.1570652234,811,A,Approve,5.00%
CUST000116,1.016144922,-0.556531718,685,1,0.2344683742,791,A,Approve,5.00%
CUST000117,-0.412314653,-0.368754978,716,0,0.1721478084,807,A,Approve,5.00%
CUST000118,-0.412314653,-1.158218936,754,0,0.0748057266,831,A,Approve,5.00%
CUST000119,-0.412314653,-1.34170935,658,0,0.1041623916,824,A,Approve,5.00%
CUST000120,-0.412314653,-1.515151192,774,0,0.0697330591,833,A,Approve,5.00%
CUST000121,1.016144922,-1.055383409,653,0,0.1343571611,816,A,Approve,5.00%
CUST000122,-0.412314653,0.1813120861,605,0,0.2682855026,783,A,Approve,5.00%
CUST000123,-0.412314653,-1.139184222,696,0,0.0914867952,827,A,Approve,5.00%
CUST000124,-0.412314653,1.47417956,715,0,0.1726878021,807,A,Approve,5.00%
CUST000125,-0.412314653,-1.242759452,597,1,0.3304938633,767,A,Approve,5.00%
CUST000127,-0.412314653,0.4314199759,612,0,0.5095246751,723,B,Approve,7.00%
CUST000128,-0.412314653,-0.925593618,725,1,0.1888553087,803,A,Approve,5.00%
CUST000129,-0.412314653,-1.328842107,654,0,0.1055834035,824,A,Approve,5.00%
CUST000131,-0.412314653,0.6321431118,689,0,0.1872007352,803,A,Approve,5.00%
CUST000132,-0.412314653,0.489304577,646,0,0.2132284197,797,A,Approve,5.00%
CUST000134,-0.412314653,0.8730840724,745,0,0.1570652234,811,A,Approve,5.00%
CUST000139,-0.412314653,-1.192633636,703,0,0.0893086659,828,A,Approve,5.00%
CUST000140,0.3019151345,-1.194985478,683,0,0.1240461923,819,A,Approve,5.00%
CUST000141,-0.412314653,-0.490764464,671,1,0.1977869642,801,A,Approve,5.00%
CUST000143,1.7303747095,1.7741595916,608,1,0.3498851153,763,A,Approve,5.00%
CUST000144,0.3019151345,1.3769329696,678,0,0.2432550072,789,A,Approve,5.00%
CUST000145,1.016144922,-1.311301089,688,0,0.1196841731,820,A,Approve,5.00%
CUST000146,-0.412314653,1.4866468546,745,0,0.1570652234,811,A,Approve,5.00%
CUST000147,-0.412314653,-0.175606325,659,0,0.2050914613,799,A,Approve,5.00%
CUST000148,-0.412314653,-0.497724716,668,1,0.2241306238,794,A,Approve,5.00%
CUST000149,1.016144922,0.4852007461,626,1,0.2768840211,781,A,Approve,5.00%
CUST000150,-0.412314653,-1.524206792,631,0,0.1298196671,818,A,Approve,5.00%
CUST000151,-0.412314653,1.4040757617,679,0,0.1930272084,802,A,Approve,5.00%
CUST000152,-0.412314653,0.6866249821,709,0,0.1759559296,806,A,Approve,5.00%
CUST000153,3.1588342845,-0.736340759,568,1,0.3409799656,765,A,Approve,5.00%
CUST000154,1.016144922,-0.187546065,655,0,0.2844197137,779,A,Approve,5.00%
CUST000156,-0.412314653,0.5924847533,722,1,0.1689359109,808,A,Approve,5.00%
CUST000157,-0.412314653,0.3564209879,715,0,0.1726878021,807,A,Approve,5.00%
CUST000158,-0.412314653,-0.585815307,697,0,0.1826377375,804,A,Approve,5.00%
CUST000159,0.3019151345,-1.367778954,664,0,0.1320726384,817,A,Approve,5.00%
CUST000160,-0.412314653,0.8257017534,556,1,0.4742303471,731,B,Approve,7.00%
CUST000161,-0.412314653,0.7701047943,712,0,0.1743158239,806,A,Approve,5.00%
CUST000163,-0.412314653,-0.323370624,663,0,0.2274382425,793,A,Approve,5.00%
CUST000166,-0.412314653,3.0174623707,621,1,0.2295304786,793,A,Approve,5.00%
CUST000168,-0.412314653,0.7297468314,682,0,0.1912649126,802,A,Approve,5.00%
CUST000171,-0.412314653,0.460440933,656,0,0.2069485538,798,A,Approve,5.00%
CUST000173,-0.412314653,0.8993678795,697,0,0.1826377375,804,A,Approve,5.00%
CUST000174,-0.412314653,-0.265910018,606,0,0.2675432472,783,A,Approve,5.00%
CUST000175,0.3019151345,-1.004442395,644,1,0.1409928341,815,A,Approve,5.00%
CUST000176,-0.412314653,-0.359543242,705,0,0.178161583,805,A,Approve,5.00%
CUST000177,0.3019151345,-1.02372717,657,0,0.1351389622,816,A,Approve,5.00%
CUST000179,-0.412314653,0.7377307548,750,0,0.154576264,811,A,Approve,5.00%
CUST000180,-0.412314653,-0.20387096,712,1,0.1743158239,806,A,Approve,5.00%
CUST000181,-0.412314653,0.617812046,649,0,0.2113299906,797,A,Approve,5.00%
CUST000182,-0.412314653,0.0502386851,666,0,0.2008064339,800,A,Approve,5.00%
CUST000183,-0.412314653,-0.184584969,708,0,0.1765053217,806,A,Approve,5.00%
CUST000185,1.016144922,-0.821292771,689,0,0.2589732413,785,A,Approve,5.00%
CUST000186,-0.412314653,0.2240274294,700,0,0.1809490261,805,A,Approve,5.00%
CUST000188,-0.412314653,-1.215800491,760,0,0.0732493187,832,A,Approve,5.00%
CUST000190,-0.412314653,-0.226782045,695,0,0.1837703287,804,A,Approve,5.00%
CUST000191,-0.412314653,-1.050680242,698,0,0.1037618148,824,A,Approve,5.00%
CUST000192,-0.412314653,-0.63149996,710,0,0.1754078833,806,A,Approve,5.00%
CUST000196,-0.412314653,0.4961276356,734,0,0.1626556294,809,A,Approve,5.00%
CUST000197,-0.412314653,1.034995116,645,0,0.4059020689,749,B,Approve,7.00%
CUST000198,1.016144922,2.0660597852,603,0,0.3261050662,768,A,Approve,5.00%
CUST000199,-0.412314653,0.5144650372,715,0,0.1726878021,807,A,Approve,5.00%
CUST000200,0.3019151345,0.6554799518,429,0,0.775017665,656,C,Review,9.00%
CUST000202,-0.412314653,-0.167642995,762,1,0.1487342717,813,A,Approve,5.00%
CUST000203,-0.412314653,1.1138309344,671,0,0.1977869642,801,A,Approve,5.00%
CUST000204,-0.412314653,-0.390055309,576,1,0.2903692404,777,A,Approve,5.00%
CUST000205,-0.412314653,2.2712924833,682,0,0.1912649126,802,A,Approve,5.00%
CUST000206,3.873064072,0.4319305905,496,1,0.3993204623,750,A,Approve,5.00%
CUST000207,0.3019151345,0.5516064459,693,1,0.2602621491,785,A,Approve,5.00%
CUST000208,0.3019151345,0.4322048783,672,0,0.2474591624,788,A,Approve,5.00%
CUST000209,0.3019151345,-1.161627622,688,0,0.1220047414,819,A,Approve,5.00%
CUST000213,-0.412314653,0.1767156348,491,0,0.6705057716,682,C,Review,9.00%
CUST000215,0.3019151345,-1.225339249,660,1,0.1338175328,817,A,Approve,5.00%
CUST000216,0.3019151345,0.3911953634,717,0,0.2171237496,796,A,Approve,5.00%
CUST000218,0.3019151345,1.05723913,673,0,0.2750960784,781,A,Approve,5.00%
CUST000219,-0.412314653,-0.548594896,618,1,0.2587384677,785,A,Approve,5.00%
CUST000220,-0.412314653,-0.067707658,689,1,0.1872007352,803,A,Approve,5.00%
CUST000223,-0.412314653,-0.036824625,616,0,0.4690123613,733,B,Approve,7.00%
CUST000224,-0.412314653,-0.694387504,698,1,0.2050073881,799,A,Approve,5.00%
CUST000225,-0.412314653,-0.16931619,705,1,0.178161583,805,A,Approve,5.00%
CUST000226,-0.412314653,-0.15166052,689,0,0.1872007352,803,A,Approve,5.00%
CUST000227,-0.412314653,0.9108322132,719,1,0.1705358527,807,A,Approve,5.00%
CUST000229,0.3019151345,-1.107060738,637,0,0.2973978202,776,A,Approve,5.00%
CUST000230,0.3019151345,1.0055941366,755,0,0.1936736663,802,A,Approve,5.00%
CUST000231,1.016144922,1.0226272318,639,1,0.2671427159,783,A,Approve,5.00%
CUST000232,0.3019151345,0.8064729396,587,1,0.5178105404,721,B,Approve,7.00%
CUST000233,-0.412314653,-0.333345304,671,1,0.1977869642,801,A,Approve,5.00%
CUST000236,-0.412314653,-1.031227047,669,0,0.1144206072,821,A,Approve,5.00%
CUST000237,0.3019151345,0.051844055,648,0,0.2647578288,784,A,Approve,5.00%
CUST000238,-0.412314653,0.2228459184,704,0,0.1787163683,805,A,Approve,5.00%
CUST000240,-0.412314653,-0.536615905,678,1,0.3761746131,756,A,Approve,5.00%
CUST000241,1.7303747095,0.7892958782,526,0,0.3878639897,753,A,Approve,5.00%
CUST000243,-0.412314653,-0.566845445,644,1,0.2403192865,790,A,Approve,5.00%
CUST000244,-0.412314653,-0.25879553,658,1,0.2057091148,799,A,Approve,5.00%
CUST000246,-0.412314653,-1.043206368,604,0,0.1418053408,815,A,Approve,5.00%
CUST000248,0.3019151345,-0.10713081,688,0,0.2363564799,791,A,Approve,5.00%
CUST000249,-0.412314653,1.2687363342,557,0,0.3054054527,774,A,Approve,5.00%
CUST000250,-0.412314653,-0.278259675,702,0,0.179829992,805,A,Approve,5.00%
CUST000251,-0.412314653,1.3807602211,763,0,0.1482557579,813,A,Approve,5.00%
CUST000252,-0.412314653,0.723071644,671,1,0.222162538,794,A,Approve,5.00%
CUST000254,-0.412314653,-0.228174477,702,1,0.179829992,805,A,Approve,5.00%
CUST000258,-0.412314653,0.0231851745,714,0,0.1732291351,807,A,Approve,5.00%
CUST000260,-0.412314653,-0.436202407,723,0,0.1684052612,808,A,Approve,5.00%
CUST000261,1.016144922,-1.63595557,620,0,0.1495562182,813,A,Approve,5.00%
CUST000262,-0.412314653,-0.241234024,685,0,0.1895149277,803,A,Approve,5.00%
CUST000263,0.3019151345,0.0136032223,648,0,0.29435848,776,A,Approve,5.00%
CUST000265,-0.412314653,1.9517940373,627,0,0.2255396303,794,A,Approve,5.00%
CUST000266,-0.412314653,0.3923276857,714,0,0.1732291351,807,A,Approve,5.00%
CUST000267,3.1588342845,-1.453182532,527,0,0.2133932617,797,A,Approve,5.00%
CUST000268,-0.412314653,-0.992572524,704,0,0.1787163683,805,A,Approve,5.00%
CUST000270,-0.412314653,-1.144979541,600,0,0.3279866268,768,A,Approve,5.00%
CUST000271,-0.412314653,-1.072258208,759,0,0.0735066328,832,A,Approve,5.00%
CUST000272,-0.412314653,-0.238692663,653,0,0.2088180448,798,A,Approve,5.00%
CUST000273,-0.412314653,-0.46769289,688,0,0.1877772367,803,A,Approve,5.00%
CUST000274,-0.412314653,-0.244911581,698,0,0.2050073881,799,A,Approve,5.00%
CUST000275,-0.412314653,-1.027842853,666,0,0.2207629526,795,A,Approve,5.00%
CUST000276,-0.412314653,-0.218666891,707,0,0.1770560607,806,A,Approve,5.00%
CUST000277,-0.412314653,-0.91780181,725,0,0.1673479511,808,A,Approve,5.00%
CUST000278,-0.412314653,0.3247344321,655,0,0.2328017332,792,A,Approve,5.00%
CUST000281,0.3019151345,1.1881158262,627,0,0.3111310494,772,A,Approve,5.00%
CUST000282,-0.412314653,-0.200998424,713,0,0.1737718087,807,A,Approve,5.00%
CUST000284,2.444604497,0.0139552223,611,1,0.3100649134,772,A,Approve,5.00%
CUST000285,-0.412314653,0.9585288745,736,0,0.1616274015,810,A,Approve,5.00%
CUST000286,-0.412314653,0.3055432315,719,1,0.3405201781,765,A,Approve,5.00%
CUST000289,-0.412314653,1.0874465807,709,0,0.1759559296,806,A,Approve,5.00%
CUST000290,-0.412314653,-0.655773396,669,0,0.1989906289,800,A,Approve,5.00%
CUST000291,-0.412314653,1.9512731865,667,0,0.2001997907,800,A,Approve,5.00%
CUST000292,-0.412314653,0.1714473622,701,0,0.1803888323,805,A,Approve,5.00%
CUST000293,-0.412314653,1.0600933003,648,0,0.2119614222,797,A,Approve,5.00%
CUST000294,-0.412314653,0.1580666312,685,0,0.1895149277,803,A,Approve,5.00%
CUST000295,1.016144922,-0.70779752,686,0,0.2337897858,792,A,Approve,5.00%
CUST000300,1.7303747095,-0.143641139,636,0,0.2650940517,784,A,Approve,5.00%
CUST000303,-0.412314653,-0.431614573,640,1,0.2170624814,796,A,Approve,5.00%
CUST000307,-0.412314653,-0.65723338,693,1,0.1849083545,804,A,Approve,5.00%
CUST000308,-0.412314653,0.5204687446,679,0,0.1930272084,802,A,Approve,5.00%
CUST000310,-0.412314653,-1.604572963,724,0,0.0830524719,829,A,Approve,5.00%
CUST000311,-0.412314653,-1.038630867,660,0,0.1034582425,824,A,Approve,5.00%
CUST000312,-0.412314653,0.5870376375,687,0,0.1883551021,803,A,Approve,5.00%
CUST000313,-0.412314653,-0.700241062,593,1,0.2772936314,781,A,Approve,5.00%
CUST000314,-0.412314653,-1.487739913,680,0,0.0966455743,826,A,Approve,5.00%
CUST000316,-0.412314653,-0.408897542,676,0,0.1948018305,801,A,Approve,5.00%
CUST000317,-0.412314653,2.2445234756,674,0,0.1959917671,801,A,Approve,5.00%
CUST000320,-0.412314653,-1.27876161,580,0,0.1532220464,812,A,Approve,5.00%
CUST000321,-0.412314653,0.3605108022,752,1,0.1535897417,812,A,Approve,5.00%
CUST000322,-0.412314653,1.5300870308,718,0,0.1710718349,807,A,Approve,5.00%
CUST000325,-0.412314653,0.1477484058,666,0,0.2008064339,800,A,Approve,5.00%
CUST000326,-0.412314653,-0.878225538,727,0,0.1662959517,808,A,Approve,5.00%
CUST000327,1.016144922,0.2732135871,592,0,0.3688505923,758,A,Approve,5.00%
CUST000328,-0.412314653,0.4943634422,715,0,0.1726878021,807,A,Approve,5.00%
CUST000329,-0.412314653,-0.041036095,773,0,0.1435403158,814,A,Approve,5.00%
CUST000330,-0.412314653,0.9436012742,737,0,0.1611152582,810,A,Approve,5.00%
CUST000331,-0.412314653,0.3393078324,688,0,0.1877772367,803,A,Approve,5.00%
CUST000332,1.016144922,0.9168114488,642,0,0.2649259062,784,A,Approve,5.00%
CUST000333,0.3019151345,1.0128677974,647,1,0.2654951576,784,A,Approve,5.00%
CUST000334,-0.412314653,-1.417667074,728,0,0.0936687844,827,A,Approve,5.00%
CUST000338,4.5872938595,-0.864579122,483,1,0.4058993952,749,B,Approve,7.00%
CUST000339,-0.412314653,-0.528933476,659,0,0.2050914613,799,A,Approve,5.00%
CUST000342,-0.412314653,-1.569587766,651,0,0.1066603568,823,A,Approve,5.00%
CUST000343,-0.412314653,-0.505478729,705,0,0.178161583,805,A,Approve,5.00%
CUST000345,-0.412314653,0.2661366127,738,0,0.1814339613,805,A,Approve,5.00%
CUST000346,-0.412314653,1.010976855,756,0,0.1516321633,812,A,Approve,5.00%
CUST000347,0.3019151345,-0.786886627,624,0,0.313569559,772,A,Approve,5.00%
CUST000348,0.3019151345,-0.830449244,636,0,0.2736918144,782,A,Approve,5.00%
CUST000350,-0.412314653,0.3292592616,729,0,0.165249253,809,A,Approve,5.00%
CUST000352,-0.412314653,0.2304599984,656,0,0.2069485538,798,A,Approve,5.00%
CUST000353,-0.412314653,-0.15985442,769,0,0.1454113337,814,A,Approve,5.00%
CUST000354,3.873064072,0.8684342259,506,1,0.3902786204,752,A,Approve,5.00%
CUST000355,-0.412314653,-1.542750862,656,0,0.1048707727,824,A,Approve,5.00%
CUST000359,-0.412314653,-1.242506167,597,1,0.1642678856,809,A,Approve,5.00%
CUST000360,-0.412314653,-0.785968021,646,0,0.2132284197,797,A,Approve,5.00%
CUST000361,-0.412314653,-0.118091249,687,0,0.1883551021,803,A,Approve,5.00%
CUST000362,2.444604497,-0.232527858,572,0,0.3424883825,764,A,Approve,5.00%
CUST000365,-0.412314653,-1.496649893,715,1,0.1905160021,802,A,Approve,5.00%
CUST000366,-0.412314653,-0.72220234,735,0,0.1621408581,809,A,Approve,5.00%
CUST000367,0.3019151345,-0.030928447,685,0,0.2384117663,790,A,Approve,5.00%
CUST000368,-0.412314653,1.1779382889,670,0,0.1983881096,800,A,Approve,5.00%
CUST000369,4.5872938595,1.8900878276,504,0,0.3868872613,753,A,Approve,5.00%
CUST000371,-0.412314653,-1.537741877,698,1,0.2006356599,800,A,Approve,5.00%
CUST000373,-0.412314653,0.3943883514,777,0,0.1416893809,815,A,Approve,5.00%
CUST000374,0.3019151345,0.9777242262,606,0,0.3284145251,768,A,Approve,5.00%
CUST000376,-0.412314653,-0.729166658,696,0,0.1832033542,804,A,Approve,5.00%
CUST000378,-0.412314653,-1.072851932,644,0,0.1092109238,823,A,Approve,5.00%
CUST000379,1.016144922,-0.668754191,703,0,0.222463282,794,A,Approve,5.00%
CUST000380,-0.412314653,-1.356700044,715,0,0.0856833717,829,A,Approve,5.00%
CUST000381,-0.412314653,-1.454188852,773,0,0.0801775356,830,A,Approve,5.00%
CUST000382,3.873064072,-1.297539305,500,0,0.2271882975,793,A,Approve,5.00%
CUST000383,-0.412314653,-0.371613522,573,1,0.4582214816,735,B,Approve,7.00%
CUST000384,-0.412314653,0.4973516028,703,0,0.1792725043,805,A,Approve,5.00%
CUST000386,-0.412314653,-1.051043089,531,0,0.3402217193,765,A,Approve,5.00%
CUST000388,-0.412314653,-0.348259907,805,0,0.1292854178,818,A,Approve,5.00%
CUST000389,0.3019151345,2.0441673415,625,1,0.2820443556,779,A,Approve,5.00%
CUST000390,-0.412314653,1.0735268928,752,0,0.1535897417,812,A,Approve,5.00%
CUST000391,-0.412314653,-0.301357428,704,1,0.1787163683,805,A,Approve,5.00%
CUST000392,-0.412314653,0.5916844413,648,0,0.2119614222,797,A,Approve,5.00%
CUST000393,-0.412314653,0.7559863401,733,0,0.1631717167,809,A,Approve,5.00%
CUST000394,-0.412314653,-0.68779965,751,0,0.1742416011,806,A,Approve,5.00%
CUST000395,-0.412314653,0.5173545329,663,0,0.2026346166,799,A,Approve,5.00%
CUST000397,-0.412314653,0.110105975,745,1,0.1570652234,811,A,Approve,5.00%
CUST000398,-0.412314653,-0.392087642,690,0,0.186625597,803,A,Approve,5.00%
CUST000399,-0.412314653,0.5358977682,685,0,0.1895149277,803,A,Approve,5.00%
CUST000400,7.4442130095,0.6942647231,309,0,0.5835207398,704,B,Approve,7.00%
CUST000405,-0.412314653,-0.079207407,612,0,0.2631171792,784,A,Approve,5.00%
CUST000406,0.3019151345,-0.75567438,614,1,0.3217721084,770,A,Approve,5.00%
CUST000408,-0.412314653,0.8822906079,713,0,0.1737718087,807,A,Approve,5.00%
CUST000411,-0.412314653,0.2489436518,683,0,0.1906802173,802,A,Approve,5.00%
CUST000412,-0.412314653,0.4394034461,810,0,0.1271702618,818,A,Approve,5.00%
CUST000413,-0.412314653,1.019433325,688,0,0.1877772367,803,A,Approve,5.00%
CUST000414,0.3019151345,-1.103920027,691,0,0.1207938048,820,A,Approve,5.00%
CUST000416,1.7303747095,1.292539449,640,0,0.2621554712,784,A,Approve,5.00%
CUST000417,-0.412314653,-1.140772206,678,0,0.1110144694,822,A,Approve,5.00%
CUST000422,-0.412314653,0.398861907,609,0,0.2653243171,784,A,Approve,5.00%
CUST000424,-0.412314653,0.9278317264,685,0,0.2131419053,797,A,Approve,5.00%
CUST000426,2.444604497,-1.141509243,576,0,0.1872188511,803,A,Approve,5.00%
CUST000427,-0.412314653,0.2789881845,728,0,0.3329136197,767,A,Approve,5.00%
CUST000428,-0.412314653,-0.909922137,731,0,0.1642078448,809,A,Approve,5.00%
CUST000429,-0.412314653,-0.525303838,671,0,0.1977869642,801,A,Approve,5.00%
CUST000431,-0.412314653,-0.033943747,734,1,0.1626556294,809,A,Approve,5.00%
CUST000433,-0.412314653,-0.446329481,656,0,0.2069485538,798,A,Approve,5.00%
CUST000434,-0.412314653,-0.863447671,686,0,0.1889343323,803,A,Approve,5.00%
CUST000435,0.3019151345,0.594483993,700,0,0.2282582041,793,A,Approve,5.00%
CUST000437,-0.412314653,-1.640762203,630,0,0.1144728802,821,A,Approve,5.00%
CUST000438,-0.412314653,-0.93843759,675,0,0.195396113,801,A,Approve,5.00%
CUST000439,-0.412314653,0.520035154,696,0,0.1832033542,804,A,Approve,5.00%
CUST000440,-0.412314653,0.5868364926,707,0,0.1770560607,806,A,Approve,5.00%
CUST000441,-0.412314653,-1.100532367,657,0,0.1045160521,824,A,Approve,5.00%
CUST000442,0.3019151345,-0.859358035,659,1,0.256734155,786,A,Approve,5.00%
CUST000443,-0.412314653,-1.303323259,739,0,0.078830544,830,A,Approve,5.00%
CUST000444,-0.412314653,-0.009152563,670,0,0.2228171919,794,A,Approve,5.00%
CUST000445,-0.412314653,-0.081670619,663,1,0.2026346166,799,A,Approve,5.00%
CUST000446,-0.412314653,-1.082147271,723,0,0.0833411262,829,A,Approve,5.00%
CUST000447,2.444604497,-0.775928932,633,1,0.263055459,784,A,Approve,5.00%
CUST000448,-0.412314653,0.6129059977,764,0,0.1477785163,813,A,Approve,5.00%
CUST000451,-0.412314653,-0.558317396,630,0,0.2235627371,794,A,Approve,5.00%
CUST000452,-0.412314653,0.5128980437,713,0,0.1737718087,807,A,Approve,5.00%
CUST000453,-0.412314653,-0.989673942,691,0,0.2093585766,798,A,Approve,5.00%
CUST000454,-0.412314653,-0.27645352,671,0,0.1977869642,801,A,Approve,5.00%
CUST000455,-0.412314653,-0.876677938,629,0,0.2242203276,794,A,Approve,5.00%
